Crop_Type,Soil_Type,Farm_Size_Acres,Irrigation_Available,Soil_pH,Soil_Nitrogen,Soil_Organic_Matter,Temperature,Rainfall,Humidity,Compatible
Wheat,Black soils,27.701983404171347,1,6.77,165.79370043835235,0.8135175506595091,26.86,886.47,89.35,1
Rice,Red and Yellow soils,65.11829897838918,0,6.73,175.61385743537613,1.910934434431556,26.89,934.83,63.14,0
Soybean,Laterite soils,82.5219028825696,1,6.54,120.98570933252736,1.84204637395397,24.0,783.31,90.0,1
Arhar,Red and Yellow soils,86.86720496550913,0,6.11,40.99567176940299,0.9693659789832094,23.27,879.5,82.48,0
Masoor,Red and Yellow soils,15.573043648692993,0,5.51,40.394151236744186,2.3537196802479925,26.19,929.43,71.45,0
Pea,Red and Yellow soils,32.745807896062146,1,5.76,26.481396356110054,4.152733501535543,25.0,903.15,85.09,0
Kulthi,Black soils,19.94313150748539,1,6.84,97.58946583215312,2.988773303025213,21.12,844.97,86.87,1
Til,Alluvial soils,95.1984444835079,0,6.33,142.64313814170387,3.0749607676792494,26.69,915.71,88.19,0
Soybean,Laterite soils,50.60103662954688,0,5.99,171.12574873717588,2.589034966808882,20.0,816.45,71.59,0
Pea,Alluvial soils,30.453837006264006,0,5.5,185.93651068955492,1.0198778892903464,28.66,881.77,73.09,0
Gram,Alluvial soils,16.672643607007103,0,6.31,103.22443146605498,0.846637066382314,20.0,937.81,61.2,0
Jwar,Laterite soils,85.67941919967865,1,5.92,155.92944761114924,4.804050202111057,29.38,837.72,67.41,1
Masoor,Red and Yellow soils,15.573043648692993,0,5.5,40.394151236744186,2.3537196802479925,25.52,917.84,72.42,0
Urd,Laterite soils,4.197889378619497,0,6.57,90.0138398925223,4.669929373092929,28.57,893.85,76.63,0
Jwar,Laterite soils,20.52338382586908,0,7.0,39.04821267421946,2.0258284690301904,23.1,795.75,74.72,0
Jwar,Laterite soils,85.67941919967865,1,5.63,155.92944761114924,4.804050202111057,29.41,855.45,66.69,1
Jwar,Black soils,43.34241591110462,0,5.9,55.8071284120974,4.114829632169133,20.14,936.36,86.27,0
Maize,Black soils,38.61061367320439,0,6.22,170.31722106664762,0.5080767595702489,24.54,814.41,64.18,0
Mustard,Alluvial soils,12.351657408054075,1,6.12,74.45869273649792,2.028361205368407,20.0,853.08,75.27,1
Millets,Red and Yellow soils,60.97944387000568,0,6.4,183.50464510721,2.1363469721664288,29.21,817.21,63.56,0
Jwar,Laterite soils,51.52716525625736,0,5.5,117.26931971045472,4.763386070226863,25.04,963.38,62.63,0
Maize,Alluvial soils,84.40064941289427,0,6.92,117.3407974676231,2.5830017311527627,29.58,794.14,87.76,0
Niger,Red and Yellow soils,16.887171155387144,1,5.75,22.167450486029797,2.846606265660132,25.74,920.88,71.52,0
Urd,Black soils,54.97589680292262,1,5.85,182.3901767961132,0.6312941161897548,23.04,806.2,84.35,0
Jwar,Alluvial soils,87.5833721223469,0,6.42,73.36725049269779,3.5742192788952645,28.92,871.3,63.98,0
Millets,Laterite soils,48.74312011750155,0,5.91,120.33880048951929,2.4768589850115967,20.0,896.7,76.78,0
Millets,Laterite soils,57.962788657384245,1,6.01,176.98515468543576,1.3308049793192296,30.0,928.52,79.23,1
Maize,Red and Yellow soils,92.61970763557478,1,6.61,58.18133438986627,3.1266305880832834,28.92,811.45,61.89,0
Gram,Alluvial soils,92.8493387422751,1,6.48,64.25799140275164,4.914860850641632,29.18,876.82,76.48,1
Moong,Alluvial soils,26.489067920660645,1,5.99,57.774369919506846,4.0238207365493945,23.74,921.57,86.32,1
Jwar,Black soils,43.34241591110462,0,6.28,55.8071284120974,4.114829632169133,20.02,881.16,82.26,0
