Crop_Type,Soil_Type,Farm_Size_Acres,Irrigation_Available,Soil_pH,Soil_Nitrogen,Soil_Organic_Matter,Temperature,Rainfall,Humidity,Compatible
Tiwra,Alluvial soils,49.96403886906193,0,6.44,129.23233750459332,1.024483141899196,26.07,909.87,65.29,0
Jwar,Red and Yellow soils,69.32300344575232,0,6.75,63.73200903681688,0.6010337902162692,27.31,766.4,85.44,0
summer paddy,Black soils,99.14865361366142,0,6.32,134.30705078512983,1.949386589804747,23.21,821.46,60.0,0
Groundnut,Black soils,13.083322941050284,0,5.92,85.59418473765709,3.41430524157662,23.97,948.97,62.84,0
Kulthi,Black soils,67.84108048066902,1,7.0,44.23042527392003,2.349613359680567,22.59,791.22,79.0,0
Maize,Black soils,19.463557757075588,0,6.75,125.4704718867283,2.598418486481846,24.08,808.56,82.12,0
Til,Alluvial soils,95.1984444835079,0,6.04,142.64313814170387,3.0749607676792494,28.67,853.11,84.04,0
Millets,Alluvial soils,43.70916466330876,1,5.61,39.41587779577248,2.043259526678144,27.17,891.6,90.0,0
Moong,Red and Yellow soils,9.326065442028998,0,6.69,172.44853243892462,3.156078875040973,22.94,897.09,69.26,0
Niger,Laterite soils,58.342897767539576,0,6.04,30.396351069572987,0.6188329381507388,23.9,870.62,86.84,0
Kulthi,Red and Yellow soils,77.23112760032592,0,6.82,189.48722932169497,0.7063293420201492,24.68,905.59,83.22,0
Soybean,Alluvial soils,1.0845160463029235,0,6.03,132.15140054930788,1.295639412046346,25.29,932.64,88.85,0
Millets,Alluvial soils,23.54097596703025,1,6.42,57.43568008837477,1.5978107189656572,26.04,893.16,82.88,1
Soybean,Laterite soils,50.60103662954688,0,5.7,171.12574873717588,2.589034966808882,20.0,901.36,77.99,0
Gram,Red and Yellow soils,82.07588905682253,0,6.69,18.009491866681152,3.233362891898263,21.29,885.53,81.45,0
Masoor,Black soils,76.58104466203038,0,6.15,112.258823548082,0.8441663455221252,27.31,933.37,72.51,0
Wheat,Alluvial soils,54.78604267673645,0,6.62,83.84981090417665,4.083958299034335,21.18,871.84,89.07,0
Kulthi,Laterite soils,93.89813650383569,0,6.74,193.230305006838,2.25817436042408,27.57,836.22,60.0,0
Kulthi,Black soils,23.189085786347796,0,5.95,189.8627111419892,2.7848888056767773,29.76,935.53,85.63,0
Soybean,Laterite soils,13.10812731307866,1,5.64,178.12965587280345,2.260207718353315,29.86,823.99,78.9,1
Soybean,Alluvial soils,1.0845160463029235,0,6.11,132.15140054930788,1.295639412046346,24.48,873.9,84.62,0
Arhar,Alluvial soils,16.947340444794044,0,7.0,115.46353355361116,3.294811394244745,24.6,782.81,75.71,0
