time_group,parcel,crop,zone,condition,humidity,rainfall,soil_ph,solar_radiation,temperature,wind_speed
2026-05-27 05:18:30+00:00,parcel_1,rice,normal,normal,80.58,48.94,5.56,513.16,27.76,
2026-05-27 05:18:30+00:00,parcel_2,rice,normal,normal,78.44,46.37,5.75,901.68,28.95,
2026-05-27 05:18:30+00:00,parcel_3,rice,risk,normal,65.91,39.25,6.97,571.02,21.87,
2026-05-27 05:18:30+00:00,parcel_4,rice,risk,normal,78.81,42.32,6.1,796.25,21.55,
2026-05-27 05:23:30+00:00,parcel_1,rice,normal,normal,62.86,48.54,6.195,495.45,20.0,
2026-05-27 05:23:30+00:00,parcel_2,rice,normal,normal,88.07,41.51,6.195,681.32,20.05,
2026-05-27 05:23:30+00:00,parcel_3,rice,risk,normal,74.76,38.91,6.195,601.74,25.64,
2026-05-27 05:23:30+00:00,parcel_4,rice,risk,normal,74.76,42.67,6.195,601.74,25.64,
2026-05-27 05:28:30+00:00,parcel_1,rice,normal,normal,78.27,47.84,6.195,362.72,30.0,
2026-05-27 05:28:30+00:00,parcel_2,rice,normal,normal,88.41,49.1,6.195,855.27,20.72,
2026-05-27 05:28:30+00:00,parcel_3,rice,risk,storm,74.76,53.07,6.195,601.74,25.64,
2026-05-27 05:28:30+00:00,parcel_4,rice,risk,normal,65.91,43.22,6.195,509.15,26.57,
2026-05-27 05:33:30+00:00,parcel_1,rice,normal,normal,77.98,44.05,6.195,722.8,20.47,
2026-05-27 05:33:30+00:00,parcel_2,rice,normal,normal,74.76,42.02,6.195,621.95,22.02,
2026-05-27 05:33:30+00:00,parcel_3,rice,risk,normal,64.82,48.19,6.195,791.17,26.03,
2026-05-27 05:33:30+00:00,parcel_4,rice,risk,normal,61.33,43.28,6.195,987.3,25.91,
2026-05-27 05:38:30+00:00,parcel_1,rice,normal,normal,61.73,42.88,6.195,702.52,28.86,
2026-05-27 05:38:30+00:00,parcel_2,rice,normal,storm,74.76,47.28,6.195,601.74,25.64,
2026-05-27 05:38:30+00:00,parcel_3,rice,risk,storm,74.76,89.27,6.195,601.74,25.64,
2026-05-27 05:38:30+00:00,parcel_4,rice,risk,storm,74.76,94.93,6.195,601.74,25.64,
2026-05-27 05:43:30+00:00,parcel_1,rice,normal,normal,74.76,43.83,6.195,601.74,25.64,
2026-05-27 05:43:30+00:00,parcel_2,rice,normal,normal,74.76,41.09,6.195,601.74,25.64,
2026-05-27 05:43:30+00:00,parcel_3,rice,risk,normal,74.76,42.18,6.195,601.74,25.64,
2026-05-27 05:43:30+00:00,parcel_4,rice,risk,normal,74.76,48.3,6.195,601.74,25.64,
2026-05-27 05:48:30+00:00,parcel_1,rice,normal,normal,74.76,41.04,6.66,601.74,25.64,
2026-05-27 05:48:30+00:00,parcel_2,rice,normal,normal,74.76,47.58,6.8,601.74,25.64,
2026-05-27 05:48:30+00:00,parcel_3,rice,risk,storm,74.76,40.6,6.195,601.74,25.64,
2026-05-27 05:48:30+00:00,parcel_4,rice,risk,normal,74.76,45.58,5.96,601.74,25.64,
2026-05-27 05:53:30+00:00,parcel_1,rice,normal,normal,74.76,44.27,6.195,601.74,25.64,
2026-05-27 05:53:30+00:00,parcel_2,rice,normal,normal,74.76,49.05,6.195,601.74,25.64,
2026-05-27 05:53:30+00:00,parcel_3,rice,risk,normal,74.76,44.49,6.195,601.74,25.64,
2026-05-27 05:53:30+00:00,parcel_4,rice,risk,normal,74.76,46.97,6.195,601.74,25.64,
2026-05-27 05:58:30+00:00,parcel_1,rice,normal,normal,74.76,39.77,6.195,601.74,25.64,
2026-05-27 05:58:30+00:00,parcel_2,rice,normal,storm,74.76,84.38,6.195,601.74,25.64,
2026-05-27 05:58:30+00:00,parcel_3,rice,risk,normal,74.76,43.75,6.195,601.74,25.64,
2026-05-27 05:58:30+00:00,parcel_4,rice,risk,normal,74.76,42.15,6.195,601.74,25.64,
2026-05-27 06:03:30+00:00,parcel_1,rice,normal,normal,74.76,45.59,6.195,601.74,25.64,
2026-05-27 06:03:30+00:00,parcel_2,rice,normal,normal,74.76,41.33,6.195,601.74,25.64,
2026-05-27 06:03:30+00:00,parcel_3,rice,risk,storm,74.76,30.65,6.195,601.74,25.64,
2026-05-27 06:03:30+00:00,parcel_4,rice,risk,storm,74.76,38.61,6.195,601.74,25.64,
2026-05-27 06:08:30+00:00,parcel_1,rice,normal,normal,74.76,47.61,6.195,601.74,25.64,
2026-05-27 06:08:30+00:00,parcel_2,rice,normal,normal,74.76,47.85,6.195,601.74,25.64,
2026-05-27 06:08:30+00:00,parcel_3,rice,risk,normal,74.76,40.82,6.195,601.74,25.64,
2026-05-27 06:08:30+00:00,parcel_4,rice,risk,storm,74.76,62.3,6.195,601.74,25.64,
2026-05-27 06:13:30+00:00,parcel_1,rice,normal,normal,74.76,42.69,6.195,601.74,25.64,
2026-05-27 06:13:30+00:00,parcel_2,rice,normal,normal,74.76,48.51,6.195,601.74,25.64,
2026-05-27 06:13:30+00:00,parcel_3,rice,risk,storm,74.76,23.59,6.195,601.74,25.64,
2026-05-27 06:13:30+00:00,parcel_4,rice,risk,storm,74.76,65.76,6.195,601.74,25.64,
2026-05-27 06:18:30+00:00,parcel_1,rice,normal,normal,74.76,42.7,6.29,601.74,25.64,
2026-05-27 06:18:30+00:00,parcel_2,rice,normal,normal,74.76,41.77,5.5,601.74,25.64,
2026-05-27 06:18:30+00:00,parcel_3,rice,risk,storm,74.76,73.14,6.195,601.74,25.64,
2026-05-27 06:18:30+00:00,parcel_4,rice,risk,normal,74.76,40.85,7.0,601.74,25.64,
2026-05-27 06:23:30+00:00,parcel_1,rice,normal,normal,74.76,45.0,6.195,601.74,25.64,
2026-05-27 06:23:30+00:00,parcel_2,rice,normal,normal,74.76,46.67,6.195,601.74,25.64,
2026-05-27 06:23:30+00:00,parcel_3,rice,risk,normal,74.76,42.81,6.195,601.74,25.64,
2026-05-27 06:23:30+00:00,parcel_4,rice,risk,normal,74.76,40.47,6.195,601.74,25.64,
2026-05-27 06:28:30+00:00,parcel_1,rice,normal,normal,74.76,43.4,6.195,601.74,25.64,
2026-05-27 06:28:30+00:00,parcel_2,rice,normal,normal,74.76,44.56,6.195,601.74,25.64,
2026-05-27 06:28:30+00:00,parcel_3,rice,risk,normal,74.76,41.84,6.195,601.74,25.64,
2026-05-27 06:28:30+00:00,parcel_4,rice,risk,storm,74.76,32.99,6.195,601.74,25.64,
2026-05-29 00:11:00+00:00,parcel_1,rice,normal,normal,82.36,46.92,5.63,551.83,22.27,
2026-05-29 00:11:00+00:00,parcel_2,rice,normal,storm,45.36,83.57,4.98,141.81,23.39,
2026-05-29 00:11:00+00:00,parcel_3,rice,risk,normal,76.0,39.97,6.76,827.55,29.84,
2026-05-29 00:11:00+00:00,parcel_4,rice,risk,normal,60.0,49.8,5.51,662.44,21.48,
2026-05-29 00:16:00+00:00,parcel_1,rice,normal,normal,60.0,40.96,6.195,880.07,29.2,
