time_group,parcel,crop,zone,condition,humidity,rainfall,soil_ph,solar_radiation,temperature,wind_speed
2026-05-27 05:18:30+00:00,parcel_1,rice,normal,normal,80.58,48.94,5.56,513.16,27.76,
2026-05-27 05:18:30+00:00,parcel_2,rice,normal,normal,78.44,46.37,5.75,901.68,28.95,
2026-05-27 05:18:30+00:00,parcel_3,rice,risk,normal,65.91,39.25,6.97,571.02,21.87,
2026-05-27 05:18:30+00:00,parcel_4,rice,risk,normal,78.81,42.32,6.1,796.25,21.55,
2026-05-27 05:18:30+00:00,parcel_5,sugar_cane,normal,normal,90.0,44.05,5.73,315.52,26.01,11.38
2026-05-27 05:18:30+00:00,parcel_6,sugar_cane,normal,normal,73.19,44.05,5.77,493.6,27.2,0.33
2026-05-27 05:18:30+00:00,parcel_7,sugar_cane,risk,storm,43.7,44.05,5.7,183.56,11.66,35.5
2026-05-27 05:18:30+00:00,parcel_8,sugar_cane,risk,storm,70.1,44.05,6.03,130.85,38.75,43.19
2026-05-27 05:19:30+00:00,parcel_1,rice,normal,normal,67.33,44.05,5.79,652.14,27.47,
2026-05-27 05:19:30+00:00,parcel_2,rice,normal,normal,64.69,44.05,5.79,527.18,24.63,
2026-05-27 05:19:30+00:00,parcel_3,rice,risk,normal,64.32,44.05,5.79,876.96,27.01,
2026-05-27 05:19:30+00:00,parcel_4,rice,risk,normal,76.57,44.05,5.79,350.27,28.99,
2026-05-27 05:19:30+00:00,parcel_5,sugar_cane,normal,normal,76.53,44.05,5.79,395.39,28.23,10.61
2026-05-27 05:19:30+00:00,parcel_6,sugar_cane,normal,storm,74.01,44.05,5.79,192.12,33.33,24.2
2026-05-27 05:19:30+00:00,parcel_7,sugar_cane,risk,normal,78.31,44.05,5.79,306.88,23.01,0.88
2026-05-27 05:19:30+00:00,parcel_8,sugar_cane,risk,storm,49.31,44.05,5.79,191.76,30.42,33.24
2026-05-27 05:20:30+00:00,parcel_1,rice,normal,normal,67.35,44.05,5.79,720.84,23.27,
2026-05-27 05:20:30+00:00,parcel_2,rice,normal,normal,65.67,44.05,5.79,759.83,27.91,
2026-05-27 05:20:30+00:00,parcel_3,rice,risk,normal,77.32,44.05,5.79,599.69,20.0,
2026-05-27 05:20:30+00:00,parcel_4,rice,risk,normal,80.02,44.05,5.79,623.78,20.0,
2026-05-27 05:20:30+00:00,parcel_5,sugar_cane,normal,normal,78.65,44.05,5.79,874.6,25.94,4.23
2026-05-27 05:20:30+00:00,parcel_6,sugar_cane,normal,normal,60.18,44.05,5.79,992.93,23.15,16.25
2026-05-27 05:20:30+00:00,parcel_7,sugar_cane,risk,normal,70.08,44.05,5.79,699.43,25.55,11.66
2026-05-27 05:20:30+00:00,parcel_8,sugar_cane,risk,normal,86.47,44.05,5.79,933.5,24.52,14.54
2026-05-27 05:21:30+00:00,parcel_1,rice,normal,normal,66.35,44.05,5.79,341.61,27.4,
2026-05-27 05:21:30+00:00,parcel_2,rice,normal,normal,67.99,44.05,5.79,752.52,25.8,
2026-05-27 05:21:30+00:00,parcel_3,rice,risk,normal,78.11,44.05,5.79,589.03,28.11,
2026-05-27 05:21:30+00:00,parcel_4,rice,risk,normal,73.8,44.05,5.79,990.92,22.66,
2026-05-27 05:21:30+00:00,parcel_5,sugar_cane,normal,normal,71.97,44.05,5.79,991.87,27.56,13.67
2026-05-27 05:21:30+00:00,parcel_6,sugar_cane,normal,normal,65.06,44.05,5.79,539.16,25.76,0.35
2026-05-27 05:21:30+00:00,parcel_7,sugar_cane,risk,storm,72.37,44.05,5.79,201.94,18.57,39.75
2026-05-27 05:21:30+00:00,parcel_8,sugar_cane,risk,storm,43.92,44.05,5.79,248.16,34.47,30.01
2026-05-27 05:22:30+00:00,parcel_1,rice,normal,normal,80.76,44.05,5.79,478.21,28.55,
2026-05-27 05:22:30+00:00,parcel_2,rice,normal,normal,69.3,44.05,5.79,572.31,25.59,
2026-05-27 05:22:30+00:00,parcel_3,rice,risk,normal,66.43,44.05,5.79,901.04,23.73,
2026-05-27 05:22:30+00:00,parcel_4,rice,risk,storm,75.47,44.05,5.79,172.84,12.13,
2026-05-27 05:22:30+00:00,parcel_5,sugar_cane,normal,normal,67.36,44.05,5.79,300.01,23.92,3.91
2026-05-27 05:22:30+00:00,parcel_6,sugar_cane,normal,normal,81.57,44.05,5.79,837.75,21.17,13.37
2026-05-27 05:22:30+00:00,parcel_7,sugar_cane,risk,storm,59.45,44.05,5.79,201.07,13.91,42.73
2026-05-27 05:22:30+00:00,parcel_8,sugar_cane,risk,storm,61.63,44.05,5.79,230.88,13.31,21.51
2026-05-27 05:23:30+00:00,parcel_1,rice,normal,normal,62.86,48.54,5.79,495.45,20.0,
2026-05-27 05:23:30+00:00,parcel_2,rice,normal,normal,88.07,41.51,5.79,681.32,20.05,
2026-05-27 05:23:30+00:00,parcel_3,rice,risk,storm,34.5,44.05,5.79,226.56,19.86,
2026-05-27 05:23:30+00:00,parcel_4,rice,risk,storm,47.2,44.05,5.79,202.21,21.38,
2026-05-27 05:23:30+00:00,parcel_5,sugar_cane,normal,storm,24.46,44.05,5.79,157.73,10.86,29.2
2026-05-27 05:23:30+00:00,parcel_6,sugar_cane,normal,normal,63.43,44.05,5.79,742.26,22.4,15.69
2026-05-27 05:23:30+00:00,parcel_7,sugar_cane,risk,normal,77.3,44.05,5.79,627.18,27.43,8.79
2026-05-27 05:23:30+00:00,parcel_8,sugar_cane,risk,storm,39.01,44.05,5.79,124.03,21.09,31.8
2026-05-27 05:24:30+00:00,parcel_1,rice,normal,normal,88.32,44.05,5.79,828.29,20.79,
2026-05-27 05:24:30+00:00,parcel_2,rice,normal,normal,79.29,44.05,5.79,464.33,21.34,
2026-05-27 05:24:30+00:00,parcel_3,rice,risk,normal,60.0,44.05,5.79,303.41,24.94,
2026-05-27 05:24:30+00:00,parcel_4,rice,risk,normal,61.09,44.05,5.79,759.66,26.36,
2026-05-27 05:24:30+00:00,parcel_5,sugar_cane,normal,normal,83.51,44.05,5.79,927.82,22.86,0.96
2026-05-27 05:24:30+00:00,parcel_6,sugar_cane,normal,normal,74.52,44.05,5.79,745.86,23.42,12.01
2026-05-27 05:24:30+00:00,parcel_7,sugar_cane,risk,normal,90.0,44.05,5.79,572.01,22.03,10.57
2026-05-27 05:24:30+00:00,parcel_8,sugar_cane,risk,normal,85.3,44.05,5.79,703.86,23.55,8.3
2026-05-27 05:25:30+00:00,parcel_1,rice,normal,normal,82.7,44.05,5.79,460.69,25.71,
2026-05-27 05:25:30+00:00,parcel_2,rice,normal,normal,84.13,44.05,5.79,816.57,29.4,
2026-05-27 05:25:30+00:00,parcel_3,rice,risk,storm,80.7,44.05,5.79,138.33,14.69,
2026-05-27 05:25:30+00:00,parcel_4,rice,risk,normal,79.15,44.05,5.79,667.92,20.35,
2026-05-27 05:25:30+00:00,parcel_5,sugar_cane,normal,normal,78.3,44.05,5.79,660.13,24.13,15.12
2026-05-27 05:25:30+00:00,parcel_6,sugar_cane,normal,normal,82.65,44.05,5.79,572.92,28.13,15.8
